Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2016,2016 Senior,Able-bodied,Alaska,44,58.9,-1.4,63.6,54.2
2016,2016 Senior,Able-bodied,Alabama,45,58.2,-1.6,59.8,56.6
2016,2016 Senior,Able-bodied,United States,,64,,64.2,63.8
2016,2016 Senior,Able-bodied,Arkansas,47,57.4,-1.9,59.6,55.2
2016,2016 Senior,Able-bodied,Arizona,21,65,0.3,66.6,63.4
2016,2016 Senior,Able-bodied,California,26,64.3,0.1,64.9,63.7
2016,2016 Senior,Able-bodied,Colorado,9,66.9,0.8,68.5,65.3
2016,2016 Senior,Able-bodied,Connecticut,5,68.1,1.2,69.9,66.3
2016,2016 Senior,Able-bodied,District of Columbia,,63.4,,68.5,58.3
2016,2016 Senior,Able-bodied,Delaware,1,69.6,1.6,72.3,66.9
2016,2016 Senior,Able-bodied,Florida,12,66.3,0.7,67.1,65.5
2016,2016 Senior,Able-bodied,Georgia,38,62.2,-0.5,63.6,60.8
2016,2016 Senior,Able-bodied,Hawaii,28,64,0,67.1,60.9
2016,2016 Senior,Able-bodied,Iowa,3,68.2,1.2,69.8,66.6
2016,2016 Senior,Able-bodied,Idaho,35,62.8,-0.3,65.7,59.9
2016,2016 Senior,Able-bodied,Illinois,24,64.9,0.3,65.7,64.1
2016,2016 Senior,Able-bodied,Indiana,37,62.5,-0.4,64.1,60.9
2016,2016 Senior,Able-bodied,Kansas,27,64.2,0.1,65.8,62.6
2016,2016 Senior,Able-bodied,Kentucky,48,56.9,-2,58.7,55.1
2016,2016 Senior,Able-bodied,Louisiana,42,59.7,-1.2,61.5,57.9
2016,2016 Senior,Able-bodied,Massachusetts,8,67.4,1,68.8,66
2016,2016 Senior,Able-bodied,Maryland,6,68,1.1,69.2,66.8
2016,2016 Senior,Able-bodied,Maine,11,66.5,0.7,69,64
2016,2016 Senior,Able-bodied,Michigan,29,63.9,0,64.9,62.9
2016,2016 Senior,Able-bodied,Minnesota,3,68.2,1.2,69.6,66.8
2016,2016 Senior,Able-bodied,Missouri,32,63.3,-0.2,64.7,61.9
2016,2016 Senior,Able-bodied,Mississippi,50,55.5,-2,58,53
2016,2016 Senior,Able-bodied,Montana,13,66.1,0.6,69.6,62.6
2016,2016 Senior,Able-bodied,North Carolina,34,62.9,-0.3,63.9,61.9
2016,2016 Senior,Able-bodied,North Dakota,14,65.9,0.5,69.8,62
2016,2016 Senior,Able-bodied,Nebraska,21,65,0.3,67.4,62.6
2016,2016 Senior,Able-bodied,New Hampshire,7,67.5,1,70.4,64.6
2016,2016 Senior,Able-bodied,New Jersey,9,66.9,0.8,68.1,65.7
2016,2016 Senior,Able-bodied,New Mexico,43,59.3,-1.3,61.7,56.9
2016,2016 Senior,Able-bodied,Nevada,32,63.3,-0.2,65.5,61.1
2016,2016 Senior,Able-bodied,New York,20,65.3,0.4,66.1,64.5
2016,2016 Senior,Able-bodied,Ohio,25,64.6,0.2,65.6,63.6
2016,2016 Senior,Able-bodied,Oklahoma,46,57.6,-1.8,59.4,55.8
2016,2016 Senior,Able-bodied,Oregon,39,62,-0.6,63.8,60.2
2016,2016 Senior,Able-bodied,Pennsylvania,19,65.4,0.4,66.2,64.6
2016,2016 Senior,Able-bodied,Rhode Island,30,63.7,-0.1,67.4,60
2016,2016 Senior,Able-bodied,South Carolina,36,62.7,-0.4,64.1,61.3
2016,2016 Senior,Able-bodied,South Dakota,17,65.5,0.4,68.4,62.6
2016,2016 Senior,Able-bodied,Tennessee,40,60.6,-1,62,59.2
2016,2016 Senior,Able-bodied,Texas,40,60.6,-1,61.4,59.8
2016,2016 Senior,Able-bodied,Utah,16,65.8,0.5,68.2,63.4
2016,2016 Senior,Able-bodied,Virginia,14,65.9,0.5,67.3,64.5
2016,2016 Senior,Able-bodied,Vermont,17,65.5,0.4,69.2,61.8
2016,2016 Senior,Able-bodied,Washington,31,63.4,-0.2,64.6,62.2
2016,2016 Senior,Able-bodied,Wisconsin,2,68.4,1.2,69.6,67.2
2016,2016 Senior,Able-bodied,West Virginia,49,55.7,-2,58.1,53.3
2016,2016 Senior,Able-bodied,Wyoming,21,65,0.3,69.1,60.9
