AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|All other|2009|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|17|200535373|Female|All other|2009-2013|0.0|0.0|0.0
0-19|0.0|0.0|0.0|Malignant|21|200535373|Female|All other|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40634361|Female|All other|2010|~|~|~
0-19|~|~|~|Malignant|~|40634361|Female|All other|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40110316|Female|All other|2011|~|~|~
0-19|~|~|~|Malignant|~|40110316|Female|All other|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|39959221|Female|All other|2012|~|~|~
0-19|~|~|~|Malignant|~|39959221|Female|All other|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|39877536|Female|All other|2013|~|~|~
0-19|~|~|~|Malignant|~|39877536|Female|All other|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic astrocytoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|45|39865121|Female|Anaplastic astrocytoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39998876|Female|Anaplastic astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic astrocytoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40165421|Female|Anaplastic astrocytoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic astrocytoma|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40382360|Female|Anaplastic astrocytoma|2007|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic astrocytoma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|40576293|Female|Anaplastic astrocytoma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|40670476|Female|Anaplastic astrocytoma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Anaplastic astrocytoma|2009-2013|~|~|~
0-19|0.1|0.1|0.1|Malignant|180|200535373|Female|Anaplastic astrocytoma|2009-2013|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Anaplastic astrocytoma|2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|40634361|Female|Anaplastic astrocytoma|2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Anaplastic astrocytoma|2011|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40110316|Female|Anaplastic astrocytoma|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Anaplastic astrocytoma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|39959221|Female|Anaplastic astrocytoma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Anaplastic astrocytoma|2013|~|~|~
0-19|0.1|0.2|0.1|Malignant|49|39877536|Female|Anaplastic astrocytoma|2013|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Anaplastic oligodendroglioma|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Anaplastic oligodendroglioma|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Anaplastic oligodendroglioma|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Anaplastic oligodendroglioma|2009-2013|~|~|~
0-19|~|~|~|Malignant|~|200535373|Female|Anaplastic oligodendroglioma|2009-2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Malignant|~|40634361|Female|Anaplastic oligodendroglioma|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Malignant|~|40110316|Female|Anaplastic oligodendroglioma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Malignant|~|39959221|Female|Anaplastic oligodendroglioma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Malignant|~|39877536|Female|Anaplastic oligodendroglioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Astrocytoma, NOS|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|91|39865121|Female|Astrocytoma, NOS|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Astrocytoma, NOS|2005|~|~|~
0-19|0.2|0.3|0.2|Malignant|91|39998876|Female|Astrocytoma, NOS|2005|0.2|0.3|0.2
