AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.3|0.4|0.3|194|Mortality|59955368|Acute Lymphocytic|1999
0-19|0.3|0.4|0.4|285|Mortality|80039970|Acute Lymphocytic|1999
0-14|3.4|3.7|3.6|2000|Incidence|55995049|Acute Lymphocytic|1999
0-19|2.9|3.1|3.0|2257|Incidence|74706728|Acute Lymphocytic|1999
0-14|0.2|0.3|0.2|141|Mortality|59955368|Acute Myeloid|1999
0-19|0.2|0.3|0.3|207|Mortality|80039970|Acute Myeloid|1999
0-14|0.6|0.8|0.7|388|Incidence|55995049|Acute Myeloid|1999
0-19|0.7|0.8|0.7|553|Incidence|74706728|Acute Myeloid|1999
0-14|2.4|2.6|2.5|1498|Mortality|59955368|All Cancer Sites Combined|1999
0-19|2.7|2.9|2.8|2243|Mortality|80039970|All Cancer Sites Combined|1999
0-14|14.3|15.0|14.7|8186|Incidence|55995049|All Cancer Sites Combined|1999
0-19|15.7|16.3|16.0|11919|Incidence|74706728|All Cancer Sites Combined|1999
0-14|0.1|0.2|0.1|82|Mortality|59955368|Bones and Joints|1999
0-19|0.2|0.3|0.3|209|Mortality|80039970|Bones and Joints|1999
0-14|0.7|0.8|0.7|419|Incidence|55995049|Bones and Joints|1999
0-19|0.8|1.0|0.9|682|Incidence|74706728|Bones and Joints|1999
0-14|0.7|0.8|0.7|431|Mortality|59955368|Brain and Other Nervous System|1999
0-19|0.6|0.7|0.7|546|Mortality|80039970|Brain and Other Nervous System|1999
0-14|3.1|3.4|3.3|1830|Incidence|55995049|Brain and Other Nervous System|1999
0-19|2.8|3.1|3.0|2215|Incidence|74706728|Brain and Other Nervous System|1999
0-14|~|~|~|~|Mortality|59955368|Hodgkin Lymphoma|1999
0-19|0.0|0.1|0.1|41|Mortality|80039970|Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.6|308|Incidence|55995049|Hodgkin Lymphoma|1999
0-19|1.1|1.3|1.2|893|Incidence|74706728|Hodgkin Lymphoma|1999
0-14|0.1|0.1|0.1|54|Mortality|59955368|Kidney and Renal Pelvis|1999
0-19|0.1|0.1|0.1|62|Mortality|80039970|Kidney and Renal Pelvis|1999
0-14|0.8|0.9|0.8|467|Incidence|55995049|Kidney and Renal Pelvis|1999
0-19|0.6|0.7|0.7|495|Incidence|74706728|Kidney and Renal Pelvis|1999
0-14|0.7|0.8|0.8|451|Mortality|59955368|Leukemia|1999
0-19|0.8|0.9|0.8|672|Mortality|80039970|Leukemia|1999
0-14|4.4|4.8|4.6|2569|Incidence|55995049|Leukemia|1999
0-19|4.0|4.3|4.1|3075|Incidence|74706728|Leukemia|1999
0-14|0.1|0.1|0.1|55|Mortality|59955368|Non-Hodgkin Lymphoma|1999
0-19|0.1|0.2|0.1|106|Mortality|80039970|Non-Hodgkin Lymphoma|1999
0-14|0.8|1.0|0.9|503|Incidence|55995049|Non-Hodgkin Lymphoma|1999
0-19|1.0|1.1|1.1|799|Incidence|74706728|Non-Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|328|Mortality|59955368|Other|1999
0-19|0.5|0.6|0.6|455|Mortality|80039970|Other|1999
0-14|2.8|3.1|2.9|1620|Incidence|55995049|Other|1999
0-19|4.0|4.3|4.2|3107|Incidence|74706728|Other|1999
0-14|0.1|0.2|0.1|87|Mortality|59955368|Soft Tissue|1999
0-19|0.2|0.2|0.2|152|Mortality|80039970|Soft Tissue|1999
0-14|0.8|0.9|0.8|470|Incidence|55995049|Soft Tissue|1999
0-19|0.8|0.9|0.9|653|Incidence|74706728|Soft Tissue|1999
0-14|0.3|0.4|0.4|234|Mortality|60279841|Acute Lymphocytic|2000
0-19|0.4|0.5|0.4|332|Mortality|80574796|Acute Lymphocytic|2000
0-14|3.5|3.9|3.7|2067|Incidence|56294656|Acute Lymphocytic|2000
0-19|3.0|3.3|3.2|2373|Incidence|75211310|Acute Lymphocytic|2000
0-14|0.2|0.3|0.2|145|Mortality|60279841|Acute Myeloid|2000
0-19|0.2|0.3|0.3|222|Mortality|80574796|Acute Myeloid|2000
0-14|0.5|0.7|0.6|332|Incidence|56294656|Acute Myeloid|2000
0-19|0.6|0.7|0.6|487|Incidence|75211310|Acute Myeloid|2000
0-14|2.4|2.7|2.5|1526|Mortality|60279841|All Cancer Sites Combined|2000
0-19|2.7|2.9|2.8|2271|Mortality|80574796|All Cancer Sites Combined|2000
