AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
1-4|2.5|3.0|2.7|418|Mortality|15339782|All Cancer Sites Combined|1999
10-14|2.3|2.7|2.5|503|Mortality|20213364|All Cancer Sites Combined|1999
15-19|3.4|4.0|3.7|745|Mortality|20084602|All Cancer Sites Combined|1999
5-9|2.3|2.7|2.5|509|Mortality|20606460|All Cancer Sites Combined|1999
<1|1.4|2.3|1.8|68|Mortality|3795762|All Cancer Sites Combined|1999
1-4|19.1|20.6|19.8|2842|Incidence|14328395|All Cancer Sites Combined|1999
10-14|12.0|13.0|12.5|2364|Incidence|18868530|All Cancer Sites Combined|1999
15-19|19.3|20.6|20.0|3733|Incidence|18711679|All Cancer Sites Combined|1999
5-9|10.6|11.6|11.1|2140|Incidence|19255907|All Cancer Sites Combined|1999
<1|22.1|25.4|23.7|840|Incidence|3542217|All Cancer Sites Combined|1999
1-4|0.6|0.9|0.7|113|Mortality|15339782|Brain and Other Nervous System|1999
10-14|0.5|0.7|0.6|124|Mortality|20213364|Brain and Other Nervous System|1999
15-19|0.5|0.7|0.6|115|Mortality|20084602|Brain and Other Nervous System|1999
5-9|0.8|1.0|0.9|184|Mortality|20606460|Brain and Other Nervous System|1999
<1|~|~|~|~|Mortality|3795762|Brain and Other Nervous System|1999
1-4|3.6|4.3|4.0|567|Incidence|14328395|Brain and Other Nervous System|1999
10-14|2.4|2.9|2.6|499|Incidence|18868530|Brain and Other Nervous System|1999
15-19|1.9|2.3|2.1|385|Incidence|18711679|Brain and Other Nervous System|1999
5-9|3.1|3.6|3.3|642|Incidence|19255907|Brain and Other Nervous System|1999
<1|2.9|4.1|3.4|122|Incidence|3542217|Brain and Other Nervous System|1999
1-4|~|~|~|~|Mortality|7493614|Cervix|1999
10-14|~|~|~|~|Mortality|9855664|Cervix|1999
15-19|~|~|~|~|Mortality|9761569|Cervix|1999
5-9|~|~|~|~|Mortality|10052618|Cervix|1999
<1|~|~|~|~|Mortality|1852123|Cervix|1999
1-4|~|~|~|~|Incidence|6999432|Cervix|1999
10-14|~|~|~|~|Incidence|9199430|Cervix|1999
15-19|0.2|0.4|0.3|27|Incidence|9092150|Cervix|1999
5-9|~|~|~|~|Incidence|9393183|Cervix|1999
<1|~|~|~|~|Incidence|1728420|Cervix|1999
1-4|~|~|~|~|Mortality|15339782|Colon and Rectum|1999
10-14|~|~|~|~|Mortality|20213364|Colon and Rectum|1999
15-19|~|~|~|~|Mortality|20084602|Colon and Rectum|1999
5-9|~|~|~|~|Mortality|20606460|Colon and Rectum|1999
<1|~|~|~|~|Mortality|3795762|Colon and Rectum|1999
1-4|~|~|~|~|Incidence|14328395|Colon and Rectum|1999
10-14|~|~|~|~|Incidence|18868530|Colon and Rectum|1999
15-19|0.2|0.3|0.3|49|Incidence|18711679|Colon and Rectum|1999
5-9|~|~|~|~|Incidence|19255907|Colon and Rectum|1999
<1|~|~|~|~|Incidence|3542217|Colon and Rectum|1999
1-4|~|~|~|~|Mortality|7493614|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Mortality|9855664|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Mortality|9761569|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Mortality|10052618|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Mortality|1852123|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Incidence|6999432|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Incidence|9199430|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Incidence|9092150|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Incidence|9393183|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Incidence|1728420|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Mortality|15339782|Esophagus|1999
10-14|~|~|~|~|Mortality|20213364|Esophagus|1999
15-19|~|~|~|~|Mortality|20084602|Esophagus|1999
