AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|191.1|205.8|198.3|2842|All ICCC Groups Combined|14328395|1999
10-14|120.3|130.4|125.3|2364|All ICCC Groups Combined|18868530|1999
15-19|193.2|206.0|199.5|3733|All ICCC Groups Combined|18711679|1999
5-9|106.5|115.9|111.1|2140|All ICCC Groups Combined|19255907|1999
<1|221.4|253.7|237.1|840|All ICCC Groups Combined|3542217|1999
1-4|76.2|85.5|80.7|1157|I Leukemias, myeloproliferative & myelodysplastic diseases|14328395|1999
10-14|26.5|31.4|28.9|545|I Leukemias, myeloproliferative & myelodysplastic diseases|18868530|1999
15-19|24.7|29.5|27.0|506|I Leukemias, myeloproliferative & myelodysplastic diseases|18711679|1999
5-9|34.4|39.8|37.0|713|I Leukemias, myeloproliferative & myelodysplastic diseases|19255907|1999
<1|37.9|52.1|44.6|158|I Leukemias, myeloproliferative & myelodysplastic diseases|3542217|1999
1-4|63.6|72.2|67.8|972|I(a) Lymphoid leukemias|14328395|1999
10-14|18.3|22.4|20.2|382|I(a) Lymphoid leukemias|18868530|1999
15-19|12.5|16.0|14.2|265|I(a) Lymphoid leukemias|18711679|1999
5-9|28.2|33.2|30.6|590|I(a) Lymphoid leukemias|19255907|1999
<1|16.9|26.9|21.5|76|I(a) Lymphoid leukemias|3542217|1999
1-4|9.1|12.6|10.7|154|I(b) Acute myeloid leukemias|14328395|1999
10-14|5.5|7.8|6.6|124|I(b) Acute myeloid leukemias|18868530|1999
15-19|8.2|11.0|9.5|178|I(b) Acute myeloid leukemias|18711679|1999
5-9|4.0|6.0|4.9|95|I(b) Acute myeloid leukemias|19255907|1999
<1|12.4|21.2|16.4|58|I(b) Acute myeloid leukemias|3542217|1999
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14328395|1999
10-14|~|~|~|~|I(c) Chronic myeloproliferative diseases|18868530|1999
15-19|1.6|3.0|2.2|41|I(c) Chronic myeloproliferative diseases|18711679|1999
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|19255907|1999
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3542217|1999
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14328395|1999
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18868530|1999
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18711679|1999
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19255907|1999
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3542217|1999
1-4|1.1|2.5|1.7|24|I(e) Unspecified and other specified leukemias|14328395|1999
10-14|0.7|1.8|1.2|22|I(e) Unspecified and other specified leukemias|18868530|1999
15-19|0.7|1.7|1.1|21|I(e) Unspecified and other specified leukemias|18711679|1999
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|19255907|1999
<1|2.8|7.7|4.8|17|I(e) Unspecified and other specified leukemias|3542217|1999
1-4|7.8|11.1|9.4|134|II Lymphomas and reticuloendothelial neoplasms|14328395|1999
10-14|21.8|26.3|24.0|452|II Lymphomas and reticuloendothelial neoplasms|18868530|1999
15-19|44.2|50.5|47.3|885|II Lymphomas and reticuloendothelial neoplasms|18711679|1999
5-9|11.5|14.8|13.0|251|II Lymphomas and reticuloendothelial neoplasms|19255907|1999
<1|5.7|12.1|8.5|30|II Lymphomas and reticuloendothelial neoplasms|3542217|1999
1-4|~|~|~|~|II(a) Hodgkin lymphomas|14328395|1999
10-14|10.1|13.2|11.6|218|II(a) Hodgkin lymphomas|18868530|1999
15-19|28.8|33.9|31.3|585|II(a) Hodgkin lymphomas|18711679|1999
5-9|3.1|4.9|3.9|76|II(a) Hodgkin lymphomas|19255907|1999
<1|~|~|~|~|II(a) Hodgkin lymphomas|3542217|1999
1-4|3.9|6.3|5.0|72|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14328395|1999
10-14|7.0|9.7|8.3|156|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18868530|1999
15-19|11.2|14.4|12.7|238|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18711679|1999
5-9|4.3|6.4|5.3|102|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19255907|1999
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3542217|1999
1-4|1.1|2.5|1.7|24|II(c) Burkitt lymphoma|14328395|1999
10-14|2.3|4.0|3.1|58|II(c) Burkitt lymphoma|18868530|1999
15-19|1.5|2.9|2.1|40|II(c) Burkitt lymphoma|18711679|1999
5-9|2.4|4.0|3.1|60|II(c) Burkitt lymphoma|19255907|1999
<1|~|~|~|~|II(c) Burkitt lymphoma|3542217|1999
1-4|0.8|2.1|1.3|19|II(d) Miscellaneous lymphoreticular neoplasms|14328395|1999
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18868530|1999
