AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
143.4|149.7|146.5|8186|All ICCC Groups Combined|55995049|0-14|All Races|Male and Female|1999|||
44.2|47.8|46.0|2573|I Leukemias, myeloproliferative & myelodysplastic diseases|55995049|0-14|All Races|Male and Female|1999|||
34.5|37.7|36.1|2020|I(a) Lymphoid leukemias|55995049|0-14|All Races|Male and Female|1999|||
7.0|8.5|7.7|431|I(b) Acute myeloid leukemias|55995049|0-14|All Races|Male and Female|1999|||
0.4|0.8|0.6|34|I(c) Chronic myeloproliferative diseases|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|55995049|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|78|I(e) Unspecified and other specified leukemias|55995049|0-14|All Races|Male and Female|1999|||
14.5|16.6|15.5|867|II Lymphomas and reticuloendothelial neoplasms|55995049|0-14|All Races|Male and Female|1999|||
4.9|6.2|5.5|308|II(a) Hodgkin lymphomas|55995049|0-14|All Races|Male and Female|1999|||
5.4|6.7|6.0|338|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|55995049|0-14|All Races|Male and Female|1999|||
2.1|3.0|2.5|143|II(c) Burkitt lymphoma|55995049|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|52|II(d) Miscellaneous lymphoreticular neoplasms|55995049|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|26|II(e) Unspecified lymphomas|55995049|0-14|All Races|Male and Female|1999|||
30.2|33.2|31.7|1774|III CNS and misc intracranial and intraspinal neoplasms|55995049|0-14|All Races|Male and Female|1999|||
2.5|3.4|2.9|164|III(a) Ependymomas and choroid plexus tumor|55995049|0-14|All Races|Male and Female|1999|||
13.4|15.4|14.4|804|III(b) Astrocytomas|55995049|0-14|All Races|Male and Female|1999|||
7.2|8.7|7.9|444|III(c) Intracranial and intraspinal embryonal tumors|55995049|0-14|All Races|Male and Female|1999|||
4.6|5.8|5.2|292|III(d) Other gliomas|55995049|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|29|III(e) Other specified intracranial & intraspinal neoplasms|55995049|0-14|All Races|Male and Female|1999|||
0.5|1.0|0.7|41|III(f) Unspecified intracranial and intraspinal neoplasms|55995049|0-14|All Races|Male and Female|1999|||
9.7|11.4|10.5|585|IV Neuroblastoma and other peripheral nervous cell tumors|55995049|0-14|All Races|Male and Female|1999|||
9.5|11.2|10.4|575|IV(a) Neuroblastoma and ganglioneuroblastoma|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|55995049|0-14|All Races|Male and Female|1999|||
8.6|10.3|9.4|527|IX Soft tissue and other extraosseous sarcomas|55995049|0-14|All Races|Male and Female|1999|||
4.3|5.5|4.9|273|IX(a) Rhabdomyosarcomas|55995049|0-14|All Races|Male and Female|1999|||
0.7|1.3|1.0|54|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|IX(c) Kaposi sarcoma|55995049|0-14|All Races|Male and Female|1999|||
2.2|3.1|2.6|147|IX(d) Other specified soft tissue sarcomas|55995049|0-14|All Races|Male and Female|1999|||
0.7|1.2|0.9|52|IX(e) Unspecified soft tissue sarcomas|55995049|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|17|Not classified by ICCC|55995049|0-14|All Races|Male and Female|1999|||
3.8|4.9|4.3|239|V Retinoblastoma|55995049|0-14|All Races|Male and Female|1999|||
7.3|8.8|8.1|450|VI Renal tumors|55995049|0-14|All Races|Male and Female|1999|||
6.9|8.4|7.6|424|VI(a) Nephroblastoma and other nonepithelial renal tumors|55995049|0-14|All Races|Male and Female|1999|||
0.3|0.6|0.4|23|VI(b) Renal carcinomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|55995049|0-14|All Races|Male and Female|1999|||
1.7|2.5|2.1|115|VII Hepatic tumors|55995049|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|93|VII(a) Hepatoblastoma|55995049|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|55995049|0-14|All Races|Male and Female|1999|||
6.6|8.0|7.2|405|VIII Malignant bone tumors|55995049|0-14|All Races|Male and Female|1999|||
3.7|4.8|4.2|236|VIII(a) Osteosarcomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(b) Chondrosarcomas|55995049|0-14|All Races|Male and Female|1999|||
2.0|2.8|2.4|133|VIII(c) Ewing tumor and related sarcomas of bone|55995049|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|19|VIII(d) Other specified malignant bone tumors|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|55995049|0-14|All Races|Male and Female|1999|||
4.5|5.7|5.0|280|X Germ cell, trophoblastic tumors & neoplasms of gonads|55995049|0-14|All Races|Male and Female|1999|||
1.0|1.7|1.3|74|X(a) Intracranial & intraspinal germ cell tumors|55995049|0-14|All Races|Male and Female|1999|||
1.1|1.7|1.4|75|X(b) Malignant extracranial & extragonadal germ cell tumors|55995049|0-14|All Races|Male and Female|1999|||
1.8|2.6|2.1|119|X(c) Malignant gonadal germ cell tumors|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(d) Gonadal carcinomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|55995049|0-14|All Races|Male and Female|1999|||
5.2|6.5|5.8|326|XI Other malignant epithelial neoplasms and malignant melanomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(a) Adrenocortical carcinomas|55995049|0-14|All Races|Male and Female|1999|||
1.6|2.3|1.9|107|XI(b) Thyroid carcinomas|55995049|0-14|All Races|Male and Female|1999|||
0.2|0.6|0.4|21|XI(c) Nasopharyngeal carcinomas|55995049|0-14|All Races|Male and Female|1999|||
1.4|2.1|1.7|96|XI(d) Malignant melanomas|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|XI(e) Skin carcinomas|55995049|0-14|All Races|Male and Female|1999|||
1.2|1.9|1.5|86|XI(f) Other and unspecified carcinomas|55995049|0-14|All Races|Male and Female|1999|||
0.3|0.7|0.5|28|XII Other and unspecified malignant neoplasms|55995049|0-14|All Races|Male and Female|1999|||
~|~|~|~|XII(a) Other specified malignant tumors|55995049|0-14|All Races|Male and Female|1999|||
0.2|0.5|0.3|17|XII(b) Other unspecified malignant tumors|55995049|0-14|All Races|Male and Female|1999|||
147.2|153.6|150.4|8445|All ICCC Groups Combined|56294656|0-14|All Races|Male and Female|2000|||
44.5|48.1|46.2|2592|I Leukemias, myeloproliferative & myelodysplastic diseases|56294656|0-14|All Races|Male and Female|2000|||
35.8|39.0|37.4|2094|I(a) Lymphoid leukemias|56294656|0-14|All Races|Male and Female|2000|||
5.9|7.3|6.6|369|I(b) Acute myeloid leukemias|56294656|0-14|All Races|Male and Female|2000|||
0.6|1.0|0.8|43|I(c) Chronic myeloproliferative diseases|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|56294656|0-14|All Races|Male and Female|2000|||
1.1|1.7|1.4|76|I(e) Unspecified and other specified leukemias|56294656|0-14|All Races|Male and Female|2000|||
15.7|17.9|16.8|946|II Lymphomas and reticuloendothelial neoplasms|56294656|0-14|All Races|Male and Female|2000|||
5.3|6.6|5.9|335|II(a) Hodgkin lymphomas|56294656|0-14|All Races|Male and Female|2000|||
5.4|6.7|6.0|339|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|56294656|0-14|All Races|Male and Female|2000|||
2.4|3.3|2.9|162|II(c) Burkitt lymphoma|56294656|0-14|All Races|Male and Female|2000|||
1.0|1.7|1.3|74|II(d) Miscellaneous lymphoreticular neoplasms|56294656|0-14|All Races|Male and Female|2000|||
0.4|0.9|0.6|36|II(e) Unspecified lymphomas|56294656|0-14|All Races|Male and Female|2000|||
31.8|34.8|33.3|1872|III CNS and misc intracranial and intraspinal neoplasms|56294656|0-14|All Races|Male and Female|2000|||
2.3|3.2|2.7|154|III(a) Ependymomas and choroid plexus tumor|56294656|0-14|All Races|Male and Female|2000|||
16.1|18.2|17.1|963|III(b) Astrocytomas|56294656|0-14|All Races|Male and Female|2000|||
6.9|8.4|7.6|429|III(c) Intracranial and intraspinal embryonal tumors|56294656|0-14|All Races|Male and Female|2000|||
4.1|5.3|4.7|262|III(d) Other gliomas|56294656|0-14|All Races|Male and Female|2000|||
0.3|0.6|0.4|24|III(e) Other specified intracranial & intraspinal neoplasms|56294656|0-14|All Races|Male and Female|2000|||
0.5|1.0|0.7|40|III(f) Unspecified intracranial and intraspinal neoplasms|56294656|0-14|All Races|Male and Female|2000|||
9.2|10.8|10.0|557|IV Neuroblastoma and other peripheral nervous cell tumors|56294656|0-14|All Races|Male and Female|2000|||
9.0|10.7|9.9|550|IV(a) Neuroblastoma and ganglioneuroblastoma|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|56294656|0-14|All Races|Male and Female|2000|||
9.7|11.4|10.5|591|IX Soft tissue and other extraosseous sarcomas|56294656|0-14|All Races|Male and Female|2000|||
4.7|5.9|5.3|297|IX(a) Rhabdomyosarcomas|56294656|0-14|All Races|Male and Female|2000|||
0.7|1.2|0.9|53|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|IX(c) Kaposi sarcoma|56294656|0-14|All Races|Male and Female|2000|||
2.7|3.7|3.2|180|IX(d) Other specified soft tissue sarcomas|56294656|0-14|All Races|Male and Female|2000|||
0.8|1.4|1.1|60|IX(e) Unspecified soft tissue sarcomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|Not classified by ICCC|56294656|0-14|All Races|Male and Female|2000|||
3.9|5.0|4.4|246|V Retinoblastoma|56294656|0-14|All Races|Male and Female|2000|||
8.0|9.6|8.8|490|VI Renal tumors|56294656|0-14|All Races|Male and Female|2000|||
7.6|9.2|8.4|467|VI(a) Nephroblastoma and other nonepithelial renal tumors|56294656|0-14|All Races|Male and Female|2000|||
0.2|0.6|0.4|22|VI(b) Renal carcinomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|56294656|0-14|All Races|Male and Female|2000|||
1.8|2.6|2.2|123|VII Hepatic tumors|56294656|0-14|All Races|Male and Female|2000|||
1.6|2.4|2.0|110|VII(a) Hepatoblastoma|56294656|0-14|All Races|Male and Female|2000|||
