"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	Deaths
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	298
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	30
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	329
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	168
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	1709
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	256
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	155
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	53
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	18
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	1022
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	418
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	48
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	82
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	583
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	324
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	198
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	169
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	232
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	223
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	80
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	278
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	334
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	522
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	259
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	173
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	306
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	53
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	110
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	113
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	67
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	364
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	77
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	840
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	509
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	45
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	618
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	184
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	251
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	693
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	46
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	230
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	53
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	387
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	1080
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	120
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	48
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	357
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	374
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	105
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	328
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	24
	"Breast"	"26000"	"Alabama"	"01"	668
	"Breast"	"26000"	"Alaska"	"02"	62
	"Breast"	"26000"	"Arizona"	"04"	849
	"Breast"	"26000"	"Arkansas"	"05"	412
	"Breast"	"26000"	"California"	"06"	4418
	"Breast"	"26000"	"Colorado"	"08"	537
	"Breast"	"26000"	"Connecticut"	"09"	456
