"","EdiblePoisonous","CapShape","CapSurface","CapColor","Odor","GrowsIn"
"1","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"2","Edible","Convex","Smooth","Yellow","Almond","grasses"
"3","Edible","Bell","Smooth","White","Anise","meadows"
"4","Poisonous","Convex","Scaly","White","Pungent","urban"
"5","Edible","Convex","Smooth","Gray","None","grasses"
"6","Edible","Convex","Scaly","Yellow","Almond","grasses"
"7","Edible","Bell","Smooth","White","Almond","meadows"
"8","Edible","Bell","Scaly","White","Anise","meadows"
"9","Poisonous","Convex","Scaly","White","Pungent","grasses"
"10","Edible","Bell","Smooth","Yellow","Almond","meadows"
"11","Edible","Convex","Scaly","Yellow","Anise","grasses"
"12","Edible","Convex","Scaly","Yellow","Almond","meadows"
"13","Edible","Bell","Smooth","Yellow","Almond","grasses"
"14","Poisonous","Convex","Scaly","White","Pungent","urban"
"15","Edible","Convex","Fibrous","Brown","None","grasses"
"16","Edible","Sunken","Fibrous","Gray","None","urban"
"17","Edible","Flat","Fibrous","White","None","grasses"
"18","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"19","Poisonous","Convex","Scaly","White","Pungent","urban"
"20","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"21","Edible","Bell","Smooth","Yellow","Almond","meadows"
"22","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"23","Edible","Bell","Scaly","Yellow","Anise","meadows"
"24","Edible","Bell","Scaly","White","Almond","meadows"
"25","Edible","Bell","Smooth","White","Anise","meadows"
"26","Poisonous","Flat","Smooth","White","Pungent","grasses"
"27","Edible","Convex","Scaly","Yellow","Almond","meadows"
"28","Edible","Convex","Scaly","White","Anise","meadows"
"29","Edible","Flat","Fibrous","Brown","None","urban"
"30","Edible","Convex","Smooth","Yellow","Almond","woods"
"31","Edible","Bell","Smooth","Yellow","Anise","meadows"
"32","Poisonous","Convex","Scaly","White","Pungent","urban"
"33","Edible","Convex","Scaly","Yellow","Anise","meadows"
"34","Edible","Convex","Scaly","Brown","Anise","paths"
"35","Edible","Bell","Scaly","Yellow","Anise","meadows"
"36","Edible","Convex","Fibrous","Yellow","Anise","woods"
"37","Edible","Sunken","Fibrous","Gray","None","urban"
"38","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"39","Edible","Convex","Fibrous","Yellow","Almond","woods"
"40","Edible","Bell","Smooth","Yellow","Anise","meadows"
"41","Edible","Bell","Scaly","Yellow","Almond","grasses"
"42","Edible","Convex","Scaly","Yellow","Anise","paths"
"43","Edible","Convex","Fibrous","Brown","None","urban"
"44","Poisonous","Convex","Scaly","White","Pungent","grasses"
"45","Edible","Convex","Smooth","Yellow","Almond","meadows"
"46","Edible","Convex","Scaly","White","Almond","grasses"
"47","Edible","Convex","Scaly","Yellow","Anise","meadows"
"48","Edible","Convex","Smooth","White","Anise","meadows"
"49","Edible","Convex","Scaly","Yellow","Anise","paths"
"50","Edible","Flat","Scaly","Yellow","Anise","paths"
"51","Edible","Convex","Scaly","Brown","Almond","grasses"
"52","Edible","Convex","Smooth","White","Anise","grasses"
"53","Edible","Bell","Smooth","White","Anise","meadows"
"54","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"55","Poisonous","Convex","Smooth","White","Pungent","urban"
"56","Edible","Bell","Scaly","Yellow","Almond","meadows"
"57","Edible","Flat","Fibrous","Gray","None","grasses"
"58","Edible","Bell","Smooth","White","Almond","grasses"
"59","Edible","Convex","Smooth","Yellow","Anise","grasses"
"60","Edible","Convex","Scaly","Brown","Almond","paths"
"61","Edible","Sunken","Fibrous","Gray","None","urban"
"62","Edible","Bell","Scaly","Yellow","Almond","meadows"
"63","Edible","Bell","Smooth","Yellow","Anise","meadows"
"64","Edible","Bell","Scaly","Yellow","Anise","meadows"
"65","Edible","Bell","Scaly","White","Anise","grasses"
"66","Edible","Flat","Smooth","Brown","None","grasses"
"67","Edible","Convex","Smooth","White","Anise","grasses"
"68","Edible","Flat","Scaly","Yellow","Almond","grasses"
"69","Edible","Convex","Scaly","Yellow","Almond","grasses"
"70","Edible","Convex","Fibrous","Gray","None","urban"
"71","Edible","Flat","Fibrous","Yellow","Anise","woods"
"72","Edible","Bell","Scaly","White","Anise","meadows"
"73","Edible","Flat","Fibrous","Yellow","Anise","woods"
"74","Edible","Convex","Scaly","Brown","Almond","paths"
"75","Edible","Bell","Smooth","Yellow","Almond","grasses"
"76","Edible","Flat","Smooth","Yellow","Anise","woods"
"77","Edible","Convex","Smooth","White","Anise","woods"
"78","Edible","Flat","Scaly","Brown","Anise","paths"
"79","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"80","Edible","Flat","Scaly","Brown","Almond","grasses"
"81","Edible","Convex","Smooth","Brown","None","grasses"
"82","Poisonous","Convex","Scaly","White","Pungent","grasses"
"83","Edible","Flat","Fibrous","Gray","None","urban"
"84","Edible","Convex","Fibrous","Gray","None","grasses"
"85","Edible","Convex","Scaly","Yellow","Anise","grasses"
"86","Edible","Convex","Smooth","Brown","None","grasses"
"87","Edible","Bell","Smooth","White","Almond","grasses"
"88","Edible","Convex","Smooth","White","Anise","grasses"
